"ShotLocations.PLAYER_NAME","ShotLocations.TEAM_ABBREVIATION","head","Shot_Type","FGAM"
"Alec Burks","NYK","https://cdn.nba.com/headshots/nba/latest/260x190/202692.png","Restricted",-11.1359787633301
"Alec Burks","NYK","https://cdn.nba.com/headshots/nba/latest/260x190/202692.png","Paint Not-Restricted",-5.70057110823026
"Alec Burks","NYK","https://cdn.nba.com/headshots/nba/latest/260x190/202692.png","Midrange",-3.49527730685396
"Alec Burks","NYK","https://cdn.nba.com/headshots/nba/latest/260x190/202692.png","Corner 3",0.160044074099581
"Alec Burks","NYK","https://cdn.nba.com/headshots/nba/latest/260x190/202692.png","Above Break 3",7.6907547928043
"Alec Burks","NYK","https://cdn.nba.com/headshots/nba/latest/260x190/202692.png","Total 3",7.85079886690388
"Alec Burks","NYK","https://cdn.nba.com/headshots/nba/latest/260x190/202692.png","Total FGAM",-12.4810283115105
"Aleksej Pokusevski","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png","Restricted",0.675390035228988
"Aleksej Pokusevski","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png","Paint Not-Restricted",-0.88624764035517
"Aleksej Pokusevski","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png","Midrange",-0.418862690707351
"Aleksej Pokusevski","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png","Corner 3",-2.35955056179775
"Aleksej Pokusevski","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png","Above Break 3",0.197236476625394
"Aleksej Pokusevski","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png","Total 3",-2.16231408517236
"Aleksej Pokusevski","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png","Total FGAM",-2.79203438100589
"Alex Caruso","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Restricted",0.724605483154299
"Alex Caruso","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Paint Not-Restricted",3.1666783339167
"Alex Caruso","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Midrange",-0.445235652646189
"Alex Caruso","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Corner 3",-3.10490088105727
"Alex Caruso","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Above Break 3",9.23682719546742
"Alex Caruso","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Total 3",6.13192631441015
"Alex Caruso","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Total FGAM",9.57797447883496
"Alex Fudge","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png","Restricted",0
"Alex Fudge","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png","Paint Not-Restricted",-0.32931305715784
"Alex Fudge","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png","Midrange",-0.418862690707351
"Alex Fudge","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png","Corner 3",-0.393123758646668
"Alex Fudge","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png","Above Break 3",-0.360565833451019
"Alex Fudge","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png","Total 3",-0.753689592097687
"Alex Fudge","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png","Total FGAM",-1.50186533996288
"Alex Len","SAC","https://cdn.nba.com/headshots/nba/latest/260x190/203458.png","Restricted",2.43184054555024
"Alex Len","SAC","https://cdn.nba.com/headshots/nba/latest/260x190/203458.png","Paint Not-Restricted",1.01248295394944
"Alex Len","SAC","https://cdn.nba.com/headshots/nba/latest/260x190/203458.png","Midrange",0.162344711132553
"Alex Len","SAC","https://cdn.nba.com/headshots/nba/latest/260x190/203458.png","Corner 3",-0.393123758646668
"Alex Len","SAC","https://cdn.nba.com/headshots/nba/latest/260x190/203458.png","Above Break 3",-0.721148640696716
"Alex Len","SAC","https://cdn.nba.com/headshots/nba/latest/260x190/203458.png","Total 3",-1.11427239934338
"Alex Len","SAC","https://cdn.nba.com/headshots/nba/latest/260x190/203458.png","Total FGAM",2.49239581128885
"Alondes Williams","MIA","https://cdn.nba.com/headshots/nba/latest/260x190/1631214.png","Restricted",0
"Alondes Williams","MIA","https://cdn.nba.com/headshots/nba/latest/260x190/1631214.png","Paint Not-Restricted",0
"Alondes Williams","MIA","https://cdn.nba.com/headshots/nba/latest/260x190/1631214.png","Midrange",0
"Alondes Williams","MIA","https://cdn.nba.com/headshots/nba/latest/260x190/1631214.png","Corner 3",0
"Alondes Williams","MIA","https://cdn.nba.com/headshots/nba/latest/260x190/1631214.png","Above Break 3",-0.360565833451019
"Alondes Williams","MIA","https://cdn.nba.com/headshots/nba/latest/260x190/1631214.png","Total 3",-0.360565833451019
"Alondes Williams","MIA","https://cdn.nba.com/headshots/nba/latest/260x190/1631214.png","Total FGAM",-0.360565833451019
"Alperen Sengun","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png","Restricted",5.68475059819622
"Alperen Sengun","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png","Paint Not-Restricted",12.5152542372881
"Alperen Sengun","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png","Midrange",-2.23318602820994
"Alperen Sengun","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png","Corner 3",-0.786301369863014
"Alperen Sengun","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png","Above Break 3",-5.26471975844499
"Alperen Sengun","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png","Total 3",-6.051021128308
"Alperen Sengun","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png","Total FGAM",9.91579767896641
"Amari Bailey","CHA","https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png","Restricted",0.337687292691296
"Amari Bailey","CHA","https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png","Paint Not-Restricted",0
"Amari Bailey","CHA","https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png","Midrange",-0.256558711778542
"Amari Bailey","CHA","https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png","Corner 3",0
"Amari Bailey","CHA","https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png","Above Break 3",-1.08174842293569
"Amari Bailey","CHA","https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png","Total 3",-1.08174842293569
"Amari Bailey","CHA","https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png","Total FGAM",-1.00061984202294
"Amen Thompson","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png","Restricted",1.580035291152
"Amen Thompson","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png","Paint Not-Restricted",-0.0652341289283971
"Amen Thompson","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png","Midrange",-1.37841101183289
"Amen Thompson","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png","Corner 3",-2.93297697368421
"Amen Thompson","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png","Above Break 3",-4.73805934997645
"Amen Thompson","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png","Total 3",-7.67103632366066
"Amen Thompson","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png","Total FGAM",-7.53464617326994
"Amir Coffey","LAC","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Restricted",5.50272398480062
"Amir Coffey","LAC","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Paint Not-Restricted",5.49847758373289
"Amir Coffey","LAC","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Midrange",-0.188487993242428
"Amir Coffey","LAC","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Corner 3",1.74410774410774
"Amir Coffey","LAC","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Above Break 3",4.54694050591172
"Amir Coffey","LAC","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Total 3",6.29104825001947
"Amir Coffey","LAC","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Total FGAM",17.1037618253106
"Andre Drummond","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/203083.png","Restricted",-13.5230627941683
"Andre Drummond","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/203083.png","Paint Not-Restricted",-5.15310518757224
"Andre Drummond","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/203083.png","Midrange",-0.418862690707351
"Andre Drummond","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/203083.png","Corner 3",0
"Andre Drummond","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/203083.png","Above Break 3",0
